state,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total,state_code
North Dakota,1.481951219512195,0.19999999999999998,1.0051219512195122,2.6865853658536585,351.2773261065944,39.689922480620154,208.68712044784684,573.1382113821138,38
Northeast Region,1.1426829268292684,0.42048780487804877,0.8178048780487805,2.3814634146341462,270.8581752484192,83.44564189827945,169.79566000039566,508.0455284552846,
Ohio,1.3031707317073171,0.22853658536585364,0.5195121951219512,2.0504878048780486,308.89972899729,45.35299678578181,107.86303483472791,437.43739837398374,39
Oklahoma,1.0990243902439025,0.15097560975609758,0.5951219512195122,1.8463414634146342,260.509485094851,29.96105123841936,123.56141079658973,393.8861788617886,40
Oregon,1.2570731707317073,0.4926829268292683,0.7741463414634145,2.5234146341463415,297.97289972899733,97.77273586689356,160.7311138804819,538.3284552845529,41
Pennsylvania,1.3443902439024389,0.2275609756097561,0.5939024390243902,2.1670731707317072,318.6702800361337,45.159387407827566,123.30821118430163,462.3089430894309,42
Rhode Island,1.2029268292682926,0.4921951219512195,0.8729268292682927,2.567560975609756,285.13821138211387,97.67593117791642,181.24028247581748,547.7463414634146,44
South Carolina,1.325609756097561,0.22390243902439025,0.8363414634146341,2.3858536585365857,314.2186088527552,44.43335224049915,173.64429410717466,508.9821138211382,45
South Dakota,1.3978048780487806,0.1878048780487805,0.8607317073170732,2.4473170731707317,331.33152664859983,37.26980525619209,178.70828635293654,522.0943089430893,46
South Region,1.2697560975609756,0.2704878048780488,0.7434146341463415,2.2829268292682925,300.9792231255646,53.67820003781433,154.3504836508219,487.0243902439024,
Tennessee,1.1368292682926828,0.17512195121951218,0.6131707317073171,1.9251219512195124,269.4706413730804,34.752883342786916,127.3087650584535,410.6926829268293,47
Texas,1.5326829268292683,0.24951219512195122,0.6182926829268293,2.399512195121951,363.30261969286363,49.515598411798074,128.3722034300635,511.8959349593496,48
Us Total,1.242439024390244,0.35073170731707315,0.7824390243902438,2.377073170731707,294.50406504065046,69.60257137455096,162.45287124404092,507.1089430894309,
Utah,0.7860975609756097,0.14902439024390246,0.47,1.4060975609756097,186.33423667570008,29.573832482510873,97.58313057583132,299.9674796747968,49
Vermont,1.441951219512195,0.5529268292682926,0.8648780487804878,2.8597560975609757,341.795844625113,109.72811495556817,179.56916503471606,610.081300813008,50
Virginia,1.1880487804878048,0.33585365853658533,0.6382926829268293,2.163170731707317,281.6115627822945,66.65002836074872,132.52467707158823,461.4764227642276,51
Washington,1.1565853658536587,0.4863414634146342,0.7782926829268293,2.4212195121951217,274.1535682023487,96.51427491019096,161.5919925622614,516.5268292682928,53
West Region,1.2370731707317073,0.5134146341463415,0.8392682926829269,2.59,293.2321589882566,101.88693514842124,174.2519731766661,552.5333333333333,
West Virginia,1.1629268292682926,0.10317073170731708,0.4573170731707317,1.7251219512195124,275.65672990063234,20.474191718661373,94.94985460803514,368.02601626016263,54
Wisconsin,1.634878048780488,0.3073170731707317,1.0519512195121952,2.994390243902439,387.52664859981934,60.98695405558706,218.4099855597096,638.8032520325204,55
Wyoming,1.4707317073170731,0.23804878048780487,1.0202439024390244,2.729756097560976,348.6178861788618,47.2406882208357,211.8267956402192,582.3479674796748,56
